"","X.1","X","season","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url","teamstats_url"
"1",3,3,"2014-2015","11-18","Michigan State","vs",81,71,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587768","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587768","http://www.espn.com/mens-college-basketball/matchup?gameId=400587768"
"2",7,7,"2014-2015","11-30","Army","vs",93,73,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587070","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587070","http://www.espn.com/mens-college-basketball/matchup?gameId=400587070"
"3",8,8,"2014-2015","12-3","Wisconsin","@",80,70,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587822","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587822","http://www.espn.com/mens-college-basketball/matchup?gameId=400587822"
"4",9,9,"2014-2015","12-15","Elon","vs",75,62,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587849","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587849","http://www.espn.com/mens-college-basketball/matchup?gameId=400587849"
"5",10,10,"2014-2015","12-18","UConn","vs",66,56,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400586736","http://www.espn.com/mens-college-basketball/boxscore?gameId=400586736","http://www.espn.com/mens-college-basketball/matchup?gameId=400586736"
"6",11,11,"2014-2015","12-29","Toledo","vs",86,69,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587472","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587472","http://www.espn.com/mens-college-basketball/matchup?gameId=400587472"
"7",12,12,"2014-2015","12-31","Wofford","vs",84,55,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587889","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587889","http://www.espn.com/mens-college-basketball/matchup?gameId=400587889"
"8",13,13,"2014-2015","1-3","Boston College","vs",85,62,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587897","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587897","http://www.espn.com/mens-college-basketball/matchup?gameId=400587897"
"9",14,14,"2014-2015","1-7","Wake Forest","@",73,65,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587906","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587906","http://www.espn.com/mens-college-basketball/matchup?gameId=400587906"
"10",15,15,"2014-2015","1-11","NC State","@",75,87,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587912","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587912","http://www.espn.com/mens-college-basketball/matchup?gameId=400587912"
"11",17,17,"2014-2015","1-17","Louisville","@",63,52,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587922","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587922","http://www.espn.com/mens-college-basketball/matchup?gameId=400587922"
"12",18,18,"2014-2015","1-19","Pittsburgh","vs",79,65,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587929","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587929","http://www.espn.com/mens-college-basketball/matchup?gameId=400587929"
