"","X.1","X","season","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url","teamstats_url"
"12",16,16,"2016-2017","1-7","Boston College","vs",93,82,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915362","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915362","http://www.espn.com/mens-college-basketball/matchup?gameId=400915362"
"13",17,17,"2016-2017","1-10","Florida State","@",72,88,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915369","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915369","http://www.espn.com/mens-college-basketball/matchup?gameId=400915369"
"14",18,18,"2016-2017","1-14","Louisville","@",69,78,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915376","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915376","http://www.espn.com/mens-college-basketball/matchup?gameId=400915376"
"15",20,20,"2016-2017","1-23","NC State","vs",82,84,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915396","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915396","http://www.espn.com/mens-college-basketball/matchup?gameId=400915396"
"16",21,21,"2016-2017","1-28","Wake Forest","@",85,83,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915407","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915407","http://www.espn.com/mens-college-basketball/matchup?gameId=400915407"
"17",22,22,"2016-2017","1-30","Notre Dame","@",84,74,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915411","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915411","http://www.espn.com/mens-college-basketball/matchup?gameId=400915411"
"18",23,23,"2016-2017","2-4","Pittsburgh","vs",72,64,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915419","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915419","http://www.espn.com/mens-college-basketball/matchup?gameId=400915419"
"19",24,24,"2016-2017","2-9","North Carolina","vs",86,78,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915431","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915431","http://www.espn.com/mens-college-basketball/matchup?gameId=400915431"
"20",25,25,"2016-2017","2-11","Clemson","vs",64,62,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915434","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915434","http://www.espn.com/mens-college-basketball/matchup?gameId=400915434"
"21",26,26,"2016-2017","2-15","Virginia","@",65,55,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915445","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915445","http://www.espn.com/mens-college-basketball/matchup?gameId=400915445"
"22",27,27,"2016-2017","2-18","Wake Forest","vs",99,94,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915448","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915448","http://www.espn.com/mens-college-basketball/matchup?gameId=400915448"
"23",28,28,"2016-2017","2-22","Syracuse","@",75,78,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915457","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915457","http://www.espn.com/mens-college-basketball/matchup?gameId=400915457"
"24",29,29,"2016-2017","2-25","Miami","@",50,55,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915463","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915463","http://www.espn.com/mens-college-basketball/matchup?gameId=400915463"
"25",30,30,"2016-2017","2-28","Florida State","vs",75,70,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915469","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915469","http://www.espn.com/mens-college-basketball/matchup?gameId=400915469"
"26",31,31,"2016-2017","3-4","North Carolina","@",83,90,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915479","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915479","http://www.espn.com/mens-college-basketball/matchup?gameId=400915479"
"27",32,32,"2016-2017","3-8","Clemson","vs",79,72,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400945789","http://www.espn.com/mens-college-basketball/boxscore?gameId=400945789","http://www.espn.com/mens-college-basketball/matchup?gameId=400945789"
"28",33,33,"2016-2017","3-9","Louisville","vs",81,77,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400945793","http://www.espn.com/mens-college-basketball/boxscore?gameId=400945793","http://www.espn.com/mens-college-basketball/matchup?gameId=400945793"
"29",35,35,"2016-2017","3-11","Notre Dame","vs",75,69,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400946221","http://www.espn.com/mens-college-basketball/boxscore?gameId=400946221","http://www.espn.com/mens-college-basketball/matchup?gameId=400946221"
"30",36,36,"2016-2017","3-17","Troy","vs",87,65,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400946419","http://www.espn.com/mens-college-basketball/boxscore?gameId=400946419","http://www.espn.com/mens-college-basketball/matchup?gameId=400946419"
"31",37,37,"2016-2017","3-19","South Carolina","vs",81,88,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400947225","http://www.espn.com/mens-college-basketball/boxscore?gameId=400947225","http://www.espn.com/mens-college-basketball/matchup?gameId=400947225"
