"","X.1","X","season","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url","teamstats_url"
"1",1,1,"2016-2017","11-11","Marist","vs",94,49,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2368.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915214","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915214","http://www.espn.com/mens-college-basketball/matchup?gameId=400915214"
"2",2,2,"2016-2017","11-12","Grand Canyon","vs",96,61,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2253.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915222","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915222","http://www.espn.com/mens-college-basketball/matchup?gameId=400915222"
"3",3,3,"2016-2017","11-15","Kansas","vs",75,77,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915236","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915236","http://www.espn.com/mens-college-basketball/matchup?gameId=400915236"
"4",5,5,"2016-2017","11-20","Rhode Island","vs",75,65,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400926563","http://www.espn.com/mens-college-basketball/boxscore?gameId=400926563","http://www.espn.com/mens-college-basketball/matchup?gameId=400926563"
"5",6,6,"2016-2017","11-23","William & Mary","vs",88,67,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2729.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915262","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915262","http://www.espn.com/mens-college-basketball/matchup?gameId=400915262"
"6",7,7,"2016-2017","11-26","Appalachian State","vs",93,58,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915273","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915273","http://www.espn.com/mens-college-basketball/matchup?gameId=400915273"
"7",8,8,"2016-2017","11-29","Michigan State","vs",78,69,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915066","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915066","http://www.espn.com/mens-college-basketball/matchup?gameId=400915066"
"8",9,9,"2016-2017","12-3","Maine","vs",94,55,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/311.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915281","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915281","http://www.espn.com/mens-college-basketball/matchup?gameId=400915281"
"9",10,10,"2016-2017","12-6","Florida","vs",84,74,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400910638","http://www.espn.com/mens-college-basketball/boxscore?gameId=400910638","http://www.espn.com/mens-college-basketball/matchup?gameId=400910638"
"10",14,14,"2016-2017","12-31","Virginia Tech","@",75,89,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915347","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915347","http://www.espn.com/mens-college-basketball/matchup?gameId=400915347"
"11",15,15,"2016-2017","1-4","Georgia Tech","vs",110,57,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400915356","http://www.espn.com/mens-college-basketball/boxscore?gameId=400915356","http://www.espn.com/mens-college-basketball/matchup?gameId=400915356"
