"","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url"
"26"," Jan 28","Notre Dame ","@","73  ","77",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587947","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587947"
"27"," Jan 31","Virginia ","@","69","63  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587955","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587955"
"28"," Feb 4","Georgia Tech ","vs","72","66  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587963","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587963"
"29"," Feb 7","Notre Dame ","vs","90","60  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587967","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587967"
"30"," Feb 9","Florida State ","@","73","70  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587973","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587973"
"31"," Feb 14","Syracuse ","@","80","72  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400599487","http://www.espn.com/mens-college-basketball/boxscore?gameId=400599487"
"32"," Feb 18","North Carolina ","vs","92","90 OT ","yes","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587989","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587989"
"33"," Feb 21","Clemson ","vs","78","56  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587993","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587993"
"34"," Feb 25","Virginia Tech ","@","91","86 OT ","yes","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400588002","http://www.espn.com/mens-college-basketball/boxscore?gameId=400588002"
"35"," Feb 28","Syracuse ","vs","73","54  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400588009","http://www.espn.com/mens-college-basketball/boxscore?gameId=400588009"
"36"," Mar 4","Wake Forest ","vs","94","51  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400588017","http://www.espn.com/mens-college-basketball/boxscore?gameId=400588017"
"37"," Mar 7","North Carolina ","@","84","77  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400588022","http://www.espn.com/mens-college-basketball/boxscore?gameId=400588022"
"38"," Mar 12","NC State ","vs","77","53  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400768420","http://www.espn.com/mens-college-basketball/boxscore?gameId=400768420"
"39"," Mar 13","Notre Dame ","vs","64  ","74",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400784978","http://www.espn.com/mens-college-basketball/boxscore?gameId=400784978"
